claim_id,afirmacao,impacto,status,grau_certeza,fonte_nivel
C01,"Planejamento hora-a-hora é contraproducente em projetos complexos por conflito com planning fallacy e variabilidade inerente",ALTO,CONFIRMADO_COM_RESSALVA,Verdade Provavel Forte,Prata/Bronze
C02,"Equipes elite do DORA fazem 182x mais deploys/ano e têm lead time <1 dia vs 1-6 meses para low performers",ALTO,CONFIRMADO,Verdade Absoluta,Ouro (DORA research program dora.dev)
C03,"Brooks Law: adicionar pessoas a projeto atrasado atrasa mais — suportado empiricamente por 7200 projetos",ALTO,CONFIRMADO,Verdade Provavel Forte,Prata (ISBSG + Effectiviology)
C04,"Tamanho ótimo de equipe: 3-7 pessoas — equipes de 9+ têm queda significativa de produtividade",MEDIO,CONFIRMADO,Verdade Provavel Forte,Prata (ISBSG 4000 projetos)
C05,"Daily standup de 15 min tem suporte empírico limitado — evidências mistas sobre efetividade real",MEDIO,CONFIRMADO_COM_RESSALVA,Verdade Provavel Fraca,Prata (ScienceDirect 2016, Tandfonline 2025)
C06,"Modelo Spotify nunca foi totalmente implementado e a própria empresa o abandonou",ALTO,CONFIRMADO,Verdade Absoluta,Ouro (declaração pública da própria Spotify + MIT Sloan 2020)
C07,"Cognitive load em Team Topologies: conceito qualitativo sem métricas padronizadas — mas redução de 22% reportada em 1 case study",MEDIO,PARCIALMENTE_CONFIRMADO,Verdade Provavel Fraca,Prata (InfoQ case study + teamtopologies.com)
C08,"Big Design Up Front (waterfall): taxa de sucesso 13% vs 42% em projetos ágeis — Standish Chaos Report 2020",ALTO,CONFIRMADO,Verdade Provavel Forte,Prata (Standish Group — metodologia controversa, vide controversias)
C09,"Handoff overhead: flow efficiency típica de equipes Scrum é 5-10% — 90-95% do tempo é espera/handoff",ALTO,CONFIRMADO,Verdade Provavel Forte,Prata (pesquisas Lean/Scrum.org)
C10,"Recovery time pós-interrupção: ~23 min citado em entrevistas de Gloria Mark — não documentado nos papers originais",MEDIO,ALERTA_VERDADE_POPULAR,Verdade Popular sem Validacao Primaria,Ferro (entrevistas, não papers)
C11,"Equipes elite DORA têm 8x menor change failure rate e recuperam falhas em <1h vs 1-4 semanas para low performers",ALTO,CONFIRMADO,Verdade Absoluta,Ouro (DORA)
C12,"Estabilidade de prioridades (DORA 2024) correlaciona com maior produtividade e menor burnout",ALTO,CONFIRMADO,Verdade Provavel Forte,Ouro (DORA 2024)
C13,"WIP limits reduzem lead time — correlação empírica com 8000+ work items, mas limite ótimo depende do contexto",MEDIO,CONFIRMADO_COM_RESSALVA,Verdade Provavel Forte,Prata (ACM/SINTEF empirical study 2018)
C14,"Planejamento ágil iterativo tem 3-6x mais sucesso que waterfall em projetos grandes (600% em huge projects)",ALTO,CONFIRMADO,Verdade Provavel Forte,Prata (Standish 2020)
