claim_id,afirmacao,impacto,status,certeza
C01,Agent Teams foi lançado em fevereiro de 2026 junto com Opus 4.6,Alto,Verificado,Verdade Absoluta (Ouro - docs oficiais + TechCrunch + VentureBeat)
C02,Agent Teams requer Claude Code v2.1.32 ou superior,Alto,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C03,Agent Teams é experimental e desabilitado por padrão,Alto,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C04,Cada teammate tem seu próprio context window independente,Crítico,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C05,Teammates NÃO herdam o histórico de conversa do lead,Crítico,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C06,Teammates carregam CLAUDE.md automaticamente ao spawnar,Alto,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C07,Teammates podem se comunicar diretamente (não só via lead),Alto,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C08,Há uma task list compartilhada com self-coordination,Alto,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C09,Teammates NÃO podem spawnar sub-agentes (Agent tool removido),Crítico,Verificado,Verdade Absoluta (Ouro - GitHub issue #32731 + docs)
C10,Sub-agentes da Task tool NÃO estão disponíveis para teammates,Crítico,Verificado,Verdade Provável Forte (dedução: Agent tool ausente = sem spawn de qualquer tipo)
C11,Todos os agentes do team devem rodar Opus 4.6 (modelo fixo),Alto,Verificado,Verdade Provável Forte (Prata - múltiplas fontes; comunidade pedindo mudança)
C12,Agent Teams consome ~7x mais tokens que sessão única,Alto,Verificado,Verdade Provável Forte (Prata - Anthropic number confirmado por múltiplas fontes)
C13,Split panes NÃO funcionam no terminal integrado do VS Code,Crítico para Delta-11,Verificado,Verdade Absoluta (Ouro - docs oficiais - limitação explícita)
C14,Não há session resumption com in-process teammates,Alto,Verificado,Verdade Absoluta (Ouro - docs oficiais - limitação explícita)
C15,Não há nested teams (teammate não pode criar team),Alto,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C16,Recomendação de 3-5 teammates por team para a maioria dos casos,Médio,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C17,Hooks TeammateIdle/TaskCreated/TaskCompleted estão disponíveis,Alto,Verificado,Verdade Absoluta (Ouro - docs oficiais)
C18,Task claiming usa file locking para evitar race conditions,Médio,Verificado,Verdade Absoluta (Ouro - docs oficiais)
