claim_id,afirmacao,impacto,status,grau_certeza
C001,"$VSCODE_PID indica que está dentro do VS Code",ALTO,confirmado,verdade_provavel_forte
C002,"pgrep -x Code falha em alguns Macs",ALTO,confirmado,verdade_absoluta
C003,"Bundle ID com.microsoft.VSCode é universal",ALTO,confirmado,verdade_absoluta
C004,"Não existe método universal de dispatch cross-platform",ALTO,confirmado,verdade_absoluta
C005,"code CLI não suporta --command",MEDIO,confirmado,verdade_absoluta
C006,"clip.exe funciona no Git Bash e WSL2",MEDIO,confirmado,verdade_provavel_forte
C007,"pgrep não existe no Git Bash Windows",ALTO,confirmado,verdade_absoluta
C008,"tasklist.exe é acessível do Git Bash",MEDIO,confirmado,verdade_provavel_forte
C009,"xdotool não funciona em Wayland",ALTO,confirmado,verdade_absoluta
C010,"wt.exe não vem no Windows 10",MEDIO,confirmado,verdade_provavel_forte
C011,"Apple Silicon vs Intel não tem diferença na automação",BAIXO,confirmado,verdade_absoluta
C012,"$TERM_PROGRAM=vscode identifica terminal integrado",MEDIO,confirmado,verdade_provavel_forte
