id,afirmacao,impacto,fontes,grau_certeza,status
C01,"Playwright MCP e mais completo que Puppeteer MCP",alto,"F01 F03 F04 F05 F20 F21",verdade_absoluta,confirmado — Puppeteer MCP arquivado em maio 2025 com apenas 7 tools vs 26 do Playwright
C02,"Browser Use funciona headless no macOS ARM64",alto,"F07 F08 F28",verdade_provavel_forte,funciona via Playwright+Chromium que tem binarios ARM64 nativos
C03,"Navegadores na nuvem adicionam latencia de 100-300ms",medio,"F25 F37 F32",verdade_provavel_forte,multiplas fontes reportam 100-300ms de overhead por request
C04,"Lightpanda usa 16x menos memoria que Chrome (24MB vs 207MB)",medio,"F09 F10 F33 F34",verdade_provavel_forte,benchmark proprio confirmado por 3 fontes independentes
C05,"Existe navegador AI-nativo que nao precisa Playwright/Puppeteer",alto,"F09 F10 F17",verdade_absoluta,Lightpanda e Agent-Browser sao exemplos confirmados
C06,"Puppeteer MCP que estava configurado esta descontinuado",critico,"F04 F05 F41",verdade_absoluta,repositorio movido para servers-archived em 29/mai/2025
C07,"Playwright MCP suporta modo headless sem janela",alto,"F01 F03 F19 F22",verdade_absoluta,flag --headless documentada oficialmente
C08,"Claude in Chrome e a solucao oficial da Anthropic",alto,"F06 F31",verdade_absoluta,documentacao oficial da Anthropic confirma
C09,"Lightpanda nao consegue tirar screenshots de paginas renderizadas",alto,"F09 F33 F38",verdade_absoluta,sem renderizacao CSS/visual por design
C10,"Playwright MCP consome ~13.7k tokens so para registrar ferramentas",medio,"F20 F21",verdade_provavel_forte,medido por Mintlify e Speakeasy
